,Title,Address,Longitude,Latitude,법정동
0,카페이숲,충남 천안시 서북구 성거읍 남창마을1길 32 1층,127.1954221,36.86218457,성거읍
1,블렌데렌,"충남 천안시 동남구 먹거리8길 5 1, 2층",127.19431,36.80488,신부동
2,그리고스페셜티,충남 천안시 동남구 유량로 104,127.1727543,36.80712793,원성1동
3,오월의숲,충남 천안시 서북구 세관길 78,127.1452078,36.82319513,성정2동
4,유얼스,충남 천안시 서북구 불당31길 37,127.1053551,36.81021545,불당2동
5,풍세커피,충남 천안시 동남구 풍세면 한우물2길 90 2동 1층,127.1064832,36.74087492,풍세면
6,교토리,충남 천안시 동남구 북면 위례성로 782,127.2714517,36.83180253,북면
7,피노카페,충남 천안시 동남구 풍세면 휴양림길 99-23,127.0925645,36.72902148,풍세면
8,마리스,충남 천안시 동남구 천호지길 11,127.1729573,36.83435246,신안동
9,마젠타,충남 천안시 서북구 성성2길 81 1동 2~4층,127.129597,36.84649299,부성2동
10,에이게이트,충남 천안시 동남구 목천읍 동리2길 183 1~4층,127.2392339,36.7886399,목천읍
11,베이커리머그카페,충남 천안시 동남구 화령길 4-11 1동 1~2층,127.1663524,36.81033401,원성1동
12,랜드마크 195,충남 천안시 동남구 유량로 195,127.1798708,36.8130684,원성1동
13,도시커피,충남 천안시 동남구 통정10로 7-1,127.1292382,36.77500703,신방동
14,숲속의문,충남 천안시 동남구 양지말2길 61 1층,127.1860679,36.81222119,원성1동
15,그레이츄,충남 천안시 서북구 오성7길 42,127.1325608,36.83219142,부성2동
16,핀스커피,충남 천안시 동남구 해솔1길 27-29,127.1772496,36.79054924,청룡동
17,알롱지,충남 천안시 동남구 풍세면 용두2길 39-1 1~2층,127.1240805,36.74444785,풍세면
18,투닷츠,충남 천안시 서북구 불당30길 7-7 1층,127.10384,36.81037232,불당2동
19,코끼리공장,충남 천안시 동남구 목천읍 동평1길 1-8 1층,127.2319998,36.77062217,목천읍
20,동민목장,충남 천안시 서북구 성환읍 왕림길 154,127.1097859,36.91906012,성환읍
21,키키키린카페,충남 천안시 동남구 천안천9길 50 1층,127.1567492,36.82120678,신안동
22,타마르카페,충남 천안시 동남구 공고담길 43-6 1층,127.1573982,36.81661666,신안동
23,카페앙프,충남 천안시 동남구 천안천변길 139,127.1251761,36.78240169,신방동
24,카페목천,충남 천안시 동남구 목천읍 충절로 986-37 1층,127.2219259,36.77404652,목천읍
25,루가밀팩토리,충남 천안시 동남구 천안천9길 20 1층,127.1538106,36.81953284,신안동
26,할리우드 카페,충남 천안시 동남구 유량로 185 1동 1층 101호,127.1783593,36.81235862,원성1동
27,배나무숲,충남 천안시 서북구 직산읍 상덕로 137,127.120571,36.879579,직산읍
28,공각,충남 천안시 서북구 불당30길 4 1층,127.1029133,36.81073041,불당2동
29,뚜아에무아 카페 앤 레스토랑,"충남 천안시 동남구 북면 위례성로 1434-2 1,2동 1층",127.2753272,36.88073054,북면
30,애월빵 공장 천안,충남 천안시 서북구 성성5로 95 브이티스퀘어 비동 지층 112~118호,127.1325661,36.84440573,부성2동
31,카페온담,"충남 천안시 동남구 통세골2길 41 1,2층",127.19431,36.80488,신방동
